"pop","order","parameter","value","std_error"
"a","1","addict_fromaddict_rate",0.0338779496398935,0.0491995456860432
"a","1","addict_frompres_rate",0.0608628784645649,0.0455824050074276
"a","1","addict_od_death_rate",0.0302770979394773,0.054932691795332
"a","1","addict_rate",0.0723533917030452,0.0457739807443762
"a","1","death_rate",0.0338229123604846,0.047269904396861
"a","1","no_addict_rate",0.131071256820736,0.0413035533450265
"a","1","pres_rate",0.0498373348369731,0.0216129377125199
"a","1","rehab_success_rate",0.118789619165585,0.0400916741051003
"a","1","relapse_rate",0.0857170771199949,0.0491476805452973
"a","1","treat_entry_rate",0.191497632331388,0.127318148628921
"a","2","addict_fromaddict_rate",0.104932080921366,0.0952080595957536
"a","2","addict_frompres_rate",0.0834578587519779,0.0701550651772564
"a","2","addict_od_death_rate",0.0915506373615053,0.0804424748801636
"a","2","addict_rate",0.142510748595603,0.133280159642113
"a","2","death_rate",0.0646819318487609,0.0555598323660209
"a","2","no_addict_rate",0.127320693274555,0.0976089813290664
"a","2","pres_rate",0.0806613002327619,0.0747273293877106
"a","2","rehab_success_rate",0.0751334642580871,0.0590195375700782
"a","2","relapse_rate",0.0963852485547858,0.077203874991598
"a","2","treat_entry_rate",0.285139773577352,0.250321596341442
"p","1","addict_fromaddict_rate",-0.000835824892623491,0.00221890903986951
"p","1","addict_frompres_rate",-0.00152463974732459,0.00177948048958832
"p","1","addict_od_death_rate",-0.000263260735154685,0.00192997722685362
"p","1","addict_rate",-0.00066481313104343,0.00271271019297766
"p","1","death_rate",-0.000128322892917898,0.00149461237889218
"p","1","no_addict_rate",0.613129584468941,0.0940442948460139
"p","1","pres_rate",0.317039984174952,0.0522550730829828
"p","1","rehab_success_rate",-0.000496761434371546,0.00112381371915536
"p","1","relapse_rate",-3.58174448860631e-05,0.000715231466199931
"p","1","treat_entry_rate",-0.0013052042793597,0.0028793676671685
"p","2","addict_fromaddict_rate",0.000278170790027039,0.000204982826993907
"p","2","addict_frompres_rate",0.00017160343920953,0.00012612853121606
"p","2","addict_od_death_rate",0.000234005457415835,0.00014471987254588
"p","2","addict_rate",0.000609338890017345,0.000332266212140231
"p","2","death_rate",0.000201623801812327,8.52568148692956e-05
"p","2","no_addict_rate",0.711549520177381,0.0637302384060668
"p","2","pres_rate",0.401203183629362,0.0597117892087106
"p","2","rehab_success_rate",0.000222871450148332,0.00010614567311113
"p","2","relapse_rate",4.48099039234239e-05,1.48695836371881e-05
"p","2","treat_entry_rate",0.000523439424044549,0.000385997362142952
"r","1","addict_fromaddict_rate",0.0684713997291997,0.0600040917399555
"r","1","addict_frompres_rate",0.094275689163513,0.0679684228994224
"r","1","addict_od_death_rate",0.0706936784397288,0.0557425188233155
"r","1","addict_rate",0.0909271849592264,0.0658945690790134
"r","1","death_rate",0.080604339101216,0.0549201839943749
"r","1","no_addict_rate",0.140862046512133,0.084903933086724
"r","1","pres_rate",0.0564242587003686,0.0249584630170343
"r","1","rehab_success_rate",0.341473865426404,0.133277832260532
"r","1","relapse_rate",0.0970963679860427,0.0485730092067951
"r","1","treat_entry_rate",0.0612565139202785,0.0620602785364403
"r","2","addict_fromaddict_rate",0.275895658338213,0.120440264076793
"r","2","addict_frompres_rate",0.209436463580492,0.086116252133144
"r","2","addict_od_death_rate",0.355461544134982,0.259708427213241
"r","2","addict_rate",0.360518139023896,0.147111502791588
"r","2","death_rate",0.318279160447735,0.2729211675691
"r","2","no_addict_rate",0.179062172958073,0.0488514069042793
"r","2","pres_rate",0.0856226047193694,0.0297357740978319
"r","2","rehab_success_rate",0.490875464130395,0.229594673016851
"r","2","relapse_rate",0.306291758283945,0.278877583413357
"r","2","treat_entry_rate",0.462290420241162,0.204079567310947
"s","1","addict_fromaddict_rate",0.00741212061541129,0.00706950123316505
"s","1","addict_frompres_rate",0.0134577897735429,0.00705538023368955
"s","1","addict_od_death_rate",0.00403589444065021,0.00591024258971256
"s","1","addict_rate",0.00721222673489905,0.00823999310840513
"s","1","death_rate",0.00427437509256935,0.00532936709797978
"s","1","no_addict_rate",0.607907727853415,0.0974822332002227
"s","1","pres_rate",0.311456389045521,0.0440180374282776
"s","1","rehab_success_rate",0.0113733145393173,0.00670869356843018
"s","1","relapse_rate",0.00511254470084516,0.00502851409799655
"s","1","treat_entry_rate",0.00687501008415281,0.00856710871489428
"s","2","addict_fromaddict_rate",0.00546149871907557,0.00350111906084855
"s","2","addict_frompres_rate",0.00432325766766869,0.00254778196100147
"s","2","addict_od_death_rate",0.00642233403429152,0.00643228757382358
"s","2","addict_rate",0.00676315021073006,0.00428826219936867
"s","2","death_rate",0.00566597587135692,0.00642311709377137
"s","2","no_addict_rate",0.659401646737091,0.0741103176866945
"s","2","pres_rate",0.376150919485519,0.051249693109263
"s","2","rehab_success_rate",0.00797255795795237,0.00664127077151529
"s","2","relapse_rate",0.00508678753320486,0.00644236247353494
"s","2","treat_entry_rate",0.00774236731428125,0.00492047682128929
